为	為	爲
紺	绀
終	终
結	结
絕	绝
絡	络
給	给
統	统
絳	绛
綃	绡
綏	绥
經	经
綜	综
綠	绿
維	维
綱	纲
網	网
綴	缀
綸	纶
綺	绮
緇	缁
緒	绪
緗	缃
線	线
緝	缉
緣	缘
編	编
緬	缅
緯	纬
練	练
縉	缙
縕	缊
縱	纵
縲	缧
縵	缦
績	绩
繒	缯
織	织
繚	缭
繞	绕
繡	绣
繩	绳
繪	绘
繹	绎
繼	继
續	续
纓	缨
纖	纤
纘	缵
罂	罌
罗	羅
罚	罰
罵	骂
羡	羨
羣	群
聂	聶
职	職
联	聯
聞	闻
聪	聰
肃	肅
肠	腸
肤	膚
胀	脹
胁	脅
胆	膽
胪	臚
脈	脉
脏	臟
脔	臠
脚	腳
脫	脱
腊	臘
腻	膩
膑	臏
舆	輿
舰	艦
艳	豔
艺	藝
芦	蘆
苇	葦
苌	萇
苍	蒼
苏	蘇
苹	蘋
荆	荊
荐	薦
荛	蕘
荟	薈
荡	蕩
荪	蓀
荫	蔭
药	藥
莅	蒞
莱	萊
莲	蓮
萝	蘿
萤	螢
萧	蕭
萨	薩
蒋	蔣
蓝	藍
蕲	蘄
蕴	蘊
薮	藪
虏	虜
虚	虛
虬	虯
虱	蝨
蚁	蟻
蚕	蠶
蛮	蠻
蛻	蜕
蜗	蝸
补	補
袭	襲
装	裝
裏	里
見	见
規	规
覓	觅
視	视
覺	觉
覽	览
觀	观
觞	觴
触	觸
訂	订
計	计
討	讨
訓	训
記	记
訛	讹
訟	讼
訣	诀
訥	讷
訪	访
設	设
許	许
訶	诃
診	诊
詁	诂
詒	诒
詔	诏
評	评
詗	诇
詛	诅
詞	词
詢	询
試	试
詩	诗
詮	诠
詰	诘
話	话
詳	详
誕	诞
誘	诱
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
說	说
課	课
誶	谇
調	调
諂	谄
談	谈
請	请
諍	诤
諒	谅
論	论
諜	谍
諡	谥
諤	谔
諦	谛
諧	谐
諫	谏
諭	谕
諱	讳
諸	诸
諺	谚
謀	谋
謁	谒
謎	谜
謐	谧
謔	谑
謗	谤
謙	谦
講	讲
謝	谢
謠	谣
謨	谟
謫	谪
謬	谬
證	证
譏	讥
識	识
譚	谭
譜	谱
譯	译
議	议
讀	读
讎	雠
讒	谗
讓	让
讕	谰
讜	谠
讞	谳
貝	贝
貞	贞
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
貰	贳
貲	赀
貳	贰
貴	贵
費	费
賀	贺
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賜	赐
賞	赏
賢	贤
賦	赋
質	质
賭	赌
賴	赖
賽	赛
贅	赘
贈	赠
贊	赞
赵	趙
跻	躋
踪	蹤
車	车
軌	轨
軒	轩
軔	轫
軸	轴
軺	轺
軼	轶
軾	轼
較	较
輅	辂
載	载
輔	辅
輕	轻
輟	辍
輦	辇
輩	辈
輪	轮
輯	辑
輸	输
轄	辖
轅	辕
轉	转
轟	轰
轡	辔
辞	辭
辟	闢
辩	辯
边	邊
辽	遼
达	達
迁	遷
过	過
运	運
还	還
进	進
远	遠
违	違
连	連
迩	邇
迳	逕
适	適
选	選
逊	遜
遗	遺
遙	遥
邓	鄧
邬	鄔
邹	鄒
邺	鄴
邻	鄰
郁	鬱
郑	鄭
郧	鄖
郸	鄲
释	釋
釣	钓
釵	钗
鈍	钝
鈐	钤
鈔	钞
鈞	钧
鈿	钿
鉛	铅
鉤	钩
鉴	鑑
鉸	铰
銀	银
銅	铜
銘	铭
銮	鑾
銷	销
鋒	锋
鋤	锄
鋪	铺
錐	锥
錢	钱
錦	锦
錫	锡
錯	错
鍛	锻
鍥	锲
鍵	键
鍾	钟
鎖	锁
鎮	镇
鏟	铲
鏡	镜
鐔	镡
鐫	镌
鐵	铁
鐸	铎
鑰	钥
長	长
門	门
閃	闪
閒	闲
間	间
閘	闸
閣	阁
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閱	阅
閹	阉
閻	阎
闈	闱
闌	阑
闍	阇
闕	阙
闖	闯
闡	阐
闹	鬧
阳	陽
阴	陰
阵	陣
际	際
陆	陸
陇	隴
陈	陳
陕	陝
险	險
随	隨
隐	隱
隽	雋
难	難
雞	鸡
雾	霧
霁	霽
静	靜
鞑	韃
韋	韦
韓	韩
韜	韬
韵	韻
頂	顶
頃	顷
項	项
順	顺
須	须
頌	颂
預	预
頓	顿
領	领
頤	颐
頸	颈
頻	频
顆	颗
題	题
額	额
顏	颜
顓	颛
顛	颠
顧	顾
顰	颦
顱	颅
風	风
飛	飞
飨	饗
飭	饬
飯	饭
飲	饮
餌	饵
餓	饿
館	馆
饋	馈
饒	饶
馬	马
馱	驮
駁	驳
駐	驻
駒	驹
駕	驾
駝	驼
駢	骈
駱	骆
騁	骋
騎	骑
騙	骗
騷	骚
驂	骖
驅	驱
驊	骅
驗	验
驛	驿
驟	骤
驢	驴
驤	骧
鬓	鬢
魚	鱼
魯	鲁
鮑	鲍
鮓	鲊
鮚	鲒
鮮	鲜
鯖	鲭
鯤	鲲
鯨	鲸
鰲	鳌
鱗	鳞
鱠	鲙
鳥	鸟
鳩	鸠
鳴	鸣
鴇	鸨
鴉	鸦
鴛	鸳
鴦	鸯
鴨	鸭
鴻	鸿
鵑	鹃
鵝	鹅
鵡	鹉
鵪	鹌
鵬	鹏
鵲	鹊
鶉	鹑
鶚	鹗
鶡	鹖
鶴	鹤
鷓	鹧
鷗	鸥
鷺	鹭
鸚	鹦
鸞	鸾
鹺	鹾
麥	麦
黃	黄
齊	齐
齒	齿
齡	龄
齪	龊
齷	龌
龍	龙
龔	龚
龕	龛
龜	龟
